Active Status,Item,Description,Price,Cost,Manufacturer
Not-active,Design,,0,0,
Not-active,Design:Base,Design Labor - Base,130,0,
Not-active,EXISTING CONTRACT LABOR,Existing Contract Labor,0,0,
Not-active,EXISTING SECURITY LABOR,Existing Contract Security Labor,0,0,
Not-active,Finish,,0,0,
Not-active,Finish:Base,Finish Labor - Base,0,0,
Not-active,Finish:Design,Finish Labor - Design,0,0,
Not-active,Finish:Management,Finish Labor - Management,0,0,
Active,LABOR,,0,0,
Not-active,LABOR:99 I Don't Know,I Don't Know,0,0,
Not-active,LABOR:Design,Design Labor,0,0,
Not-active,LABOR:Design:Base,Design Labor.,130,60,
Active,LABOR:Finish,Finish Labor,0,0,
Active,LABOR:Finish:Base,Service Labor,120,49,
Active,LABOR:Finish:Design,Design Finish Phase,130,60,
Active,LABOR:Finish:Management,Project Management Finish Phase,105,49,
Not-active,LABOR:Management,Management Labor,0,0,
Not-active,LABOR:Management:Base,Management Labor,105,49,
Not-active,LABOR:Management:Design,Management Labor - Design,105,0,
Not-active,LABOR:Management:Management,Management Labor - Management,98,0,
Active,LABOR:Office/Meetings,Office/Meetings,0,0,
Active,LABOR:ON-CALL,On-Call Labor,0,0,
Active,LABOR:Ops/Admin/Sales,Operations/Administrative,0,0,
Active,LABOR:Programming,Programming Labor,0,0,
Active,LABOR:Programming:Base,Programming Labor,145,67.5,
Active,LABOR:Rough-in,Rough-in Labor,0,0,
Active,LABOR:Rough-in:Base,Rough-in Labor,92,42.5,
Active,LABOR:Rough-in:Design,Design Rough-in Phase,130,60,
Active,LABOR:Rough-in:Management,Project Management Rough-in Phase,105,49,
Active,LABOR:Security Finish,Security Labor,0,0,
Active,LABOR:Security Finish:Base,Security Service Labor,120,49,
Active,LABOR:Security Finish:Design,Security Finish Design,0,60,
Active,LABOR:Security Finish:Management,Security Project Management Finish Phase,105,49,
Active,LABOR:Security Rough,Security Rough-in Labor,0,0,
Active,LABOR:Security Rough:Base,Security Rough-in Labor,92,42.5,
Active,LABOR:Security Rough:Design,Security Rough-in Design,130,60,
Active,LABOR:Security Rough:Management,Security Project Management Rough-in Phase,105,49,
Active,LABOR:Subcontractor,Subcontractor Expense,0,0,
Active,LABOR:Subcontractor:Security Subcontractor,Security Subcontractor,0,0,
Active,LABOR:Training,Training,0,0,
Active,LABOR:Travel Time,Travel Time,0,0,
Not-active,Management,,0,0,
Not-active,Management:Base,Management Labor - Base,105,0,
Not-active,Programming,,0,0,
Not-active,Programming:Base,Programming Labor - Base,130,0,
Not-active,Rough-In,,0,0,
Not-active,Rough-In:Base,Rough-In Labor - Base,85,0,
Not-active,Rough-In:Design,Rough-In Labor - Design,120,0,
Not-active,Rough-In:Management,Rough-In Labor - Management,98,0,
Not-active,Security Finish,,0,0,
Not-active,Security Finish:Base,Security Finish Labor - Base,0,0,
Not-active,Security Finish:Design,Security Finish Labor - Design,0,0,
Not-active,Security Finish:Management,Security Finish Labor - Management,0,0,
Not-active,Security Rough,,0,0,
Not-active,Security Rough:Base,Security Rough Labor - Base,0,0,
Not-active,Security Rough:Design,Security Rough Labor - Design,0,0,
Not-active,Security Rough:Management,Security Rough Labor - Management,0,0,
Active,VIA  AR Purchased,VIA AR Purchased,0,0,
Active,2N,,0,0,2N
Active,2N:01273-001,The 2N IP Verso security intercom is configurable to your needs thanks to its modularity. It pro...,1303.99,766.99,2N
Active,2N:01303-001,"IP Solo Main Unit with Camera, Flush Mount, Black",1254.99,752.99,2N
Active,2N:01304-001,IP Solo Back Box for Flush Mount Installations,31.99,18.99,2N
Active,2N:01365-001,Access Unit RFID.,525.99,308.99,2N
Active,ACCESS NETWORKS,,0,0,ACCESS NETWORKS
Active,ACCESS NETWORKS:A310,Dual band 802.11ac dual stream indoor wireless access point,475,285,ACCESS NETWORKS
Active,ACCESS NETWORKS:A510,Indoor 2.4/5GHz 802.11ac Wave 2 Wi-Fi Access Point.,800,480,ACCESS NETWORKS
Active,ACCESS NETWORKS:A610,Indoor 802.11ac Wave 2 Wi-Fi Access Point.,1050,630,ACCESS NETWORKS
Active,ACCESS NETWORKS:B300,Omni directional 802.11ac outdoor wireless access point,1500,900,ACCESS NETWORKS
Active,ACCESS NETWORKS:C120,"Wi-Fi Controller, Supports Up To 150 Access Points. Includes Licensing For 8 Access Points, 4 ye...",1990,995,ACCESS NETWORKS
Active,ACCESS NETWORKS:C120 SINGLE AP LICENSE UPGRADE,C120 Single AP License Upgrade including Access Networks Support.,180,126,ACCESS NETWORKS
Active,ACCESS NETWORKS:CORE2 SYSTEM QUOTE,Core2 Network System Quote #,0,0,ACCESS NETWORKS
Active,ADEMCO,DO NOT USE,0,0,ADEMCO
Active,ADEMCO:1332,9V Transformer,21.01,9.79,ADEMCO
Active,ADEMCO:4100SM,Serial Interface Module,156.83,92.99,ADEMCO
Active,ADEMCO:4101SN,Addressable Relay Module,72.62,45.39,ADEMCO
Active,ADEMCO:4193SN,2-Zone Input Expander,18.94,12.99,ADEMCO
Active,ADEMCO:4204,Intelligent Relay Board,101.17,44.74,ADEMCO
Active,ADEMCO:4208SN,8-Zone Expander for V-Plex Polling Loop Devices,125,77.99,ADEMCO
Active,ADEMCO:4208U,Universal Eight Zone Remote Point Module,120.29,46,ADEMCO
Active,ADEMCO:4219,8-Zone Expander,112.59,72.99,ADEMCO
Active,ADEMCO:4229,8-ZN EXPANDER W/ RELAY,135,78.53,ADEMCO
Active,ADEMCO:4232CBM,Vista Automation Interface.,119,89,ADEMCO
Active,ADEMCO:470PB,"Remote Water Sensor, Probe Style",18.4,14.99,ADEMCO
Active,ADEMCO:5800CO,Carbon Monoxide Detector with Built-In Wireless Transmitter,124.78,81.99,ADEMCO
Active,ADEMCO:5800COMBO,Wireless Smoke/CO Detector.,195.5,117.99,ADEMCO
Active,ADEMCO:5800FLOOD,Wireless Flood and Temperature Sensor,43.99,25.99,ADEMCO
Active,ADEMCO:5800MICRA,Micro Wireless Recessed Transmitter,70.93,35.51,ADEMCO
Active,ADEMCO:5800MINI,Mini Wireless Transmitter,41.99,28.99,ADEMCO
Active,ADEMCO:5800PIR,Wireless Motion Detector,125,78.99,ADEMCO
Active,ADEMCO:5800RP,Wireless Repeater,127.98,82.99,ADEMCO
Active,ADEMCO:5800RPS,Wireless Recessed Transmitter,65.42,40.89,ADEMCO
Active,ADEMCO:5800SS1,Wireless Shock Sensor,67.18,41.99,ADEMCO
Active,ADEMCO:5800ZBRIDGE,Honeywell Z-Wave Controller for Ademco Vista Panels.,59.99,40,ADEMCO
Active,ADEMCO:5802WXT,1-Button Personal Panic Transmitter,47.98,31.99,ADEMCO
Active,ADEMCO:5802WXT-2,2-Button Personal Panic Transmitter,47.98,29.99,ADEMCO
Active,ADEMCO:5806W3,Wireless Photoelectric Smoke Detector,97.86,64.99,ADEMCO
Not-active,ADEMCO:5808W3,Wireless Photoelectric Smoke & Heat Detector,95.98,59.99,ADEMCO
Not-active,ADEMCO:5809,Wireless Heat Detector,79.2,53.99,ADEMCO
Active,ADEMCO:5809SS,Wireless Heat Detector,79.2,53.99,ADEMCO
Active,ADEMCO:5811,Thin Door & Window Contact / Transmitter,42.4,26.5,ADEMCO
Active,ADEMCO:5814,Ultra Small Door & Window Contact / Transmitter,78.54,28.99,ADEMCO
Active,ADEMCO:5815,Door & Window Contact / Transmitter,42.4,26.5,ADEMCO
Active,ADEMCO:5816OD,Outdoor Wireless Contact / Transmitter,93.3,61.99,ADEMCO
Active,ADEMCO:5816WMBR,"Door & Window Contact / Transmitter, Brown",41.58,25.99,ADEMCO
Active,ADEMCO:5816WMWH,"Door & Window Contact / Transmitter, White",39.98,25.99,ADEMCO
